Annual_Income,Investment,Deduction,Tax
1942743,193808,76304,201789.3
4554572,375060,24163,946604.7
2484489,230511,25095,368664.9
1820006,366607,130452,114589.4
1386074,27771,209211,82363.8
4294887,361140,76527,857166.0
1489911,352317,167376,55532.7
4722471,322978,52988,1003951.5
2388242,185189,68873,340254.0
4773669,121290,223480,1028669.7
2016891,228130,214787,172192.2
4771373,213209,145224,1023882.0
3594769,54890,59663,744064.8
1041743,113740,103431,37457.2
353355,361572,102263,0.0
1512752,28689,168252,113162.2
1646025,48063,76270,156507.6
1557371,339342,81214,80522.25
1167040,230670,177149,30922.1
2503882,21363,231554,375289.5
3780409,167763,167721,733477.5
4971339,153823,188568,1088684.4
1750942,27782,204354,155641.8
4510029,365328,211309,880017.6
3525709,163612,104317,677334.0
334654,328135,205975,0.0
2204354,353019,23060,248482.5
2666182,243628,233485,356720.7
3724675,338799,85558,690095.4
2902991,222456,93779,476026.8
2678388,83177,181559,424095.6
778178,78396,10916,23886.6
2913046,299021,164720,434791.5
2836644,38405,246057,465654.6
2820406,136435,185207,449629.2
3666664,330773,192886,642901.5
3635659,66233,119130,735088.8
3635357,303615,178532,645963.0
3045513,285446,222463,461281.2
1715689,231045,68581,133212.6
318148,395610,102272,0.0
2075665,362192,11335,210641.4
2995683,117972,102728,532494.9
3647723,325383,195274,638119.8
3253758,222763,135823,568551.6
4306518,248088,72564,895759.8
2919995,143811,234902,462384.6
4700812,79269,20892,1080195.3
2120928,123558,183985,244015.5
4405299,110868,189043,931616.4
2807489,277882,35524,448224.9
2023415,344039,75837,181061.7
2555413,352034,247116,286878.9
4160197,117383,236520,841888.2
521836,317428,155975,0.0
3834702,357836,102700,712249.8
2345505,249297,193918,270687.0
2549435,109294,111005,398740.8
446769,225446,183507,0.0
2908505,265954,231797,423226.2
1521741,246419,130902,81663.0
4019315,194115,81180,823206.0
1296797,114852,15520,84963.75
3297262,97080,43436,647023.8
1834398,216062,12128,181862.4
2835031,101863,222067,453330.3
814685,36705,246114,11593.3
3129190,83131,92137,586176.6
1561736,358159,70275,79995.3
1257293,344600,150012,31268.1
3616612,359003,112524,643525.5
273247,229545,165848,0.0
2954238,174161,238353,462517.2
2880708,349382,94541,431035.5
3744679,358084,244515,642624.0
2017640,381278,107238,158737.2
2863740,356060,207329,390105.3
1535160,238598,117447,86867.25
1675472,343540,110185,94349.4
298984,23877,200643,0.0
2650070,390551,126120,340019.7
3515879,104256,228173,655035.0
1754384,224284,225312,110957.6
2480919,51818,180790,374493.3
2002126,250956,19968,219360.6
4580634,68555,90634,1026433.5
1987095,324512,131865,159215.4
2361138,371810,84426,271470.6
2359818,380921,135848,252914.7
2481785,392072,207229,264745.2
4733302,69421,201003,1038863.4
3198089,46620,236265,574561.2
2975928,342683,157915,442599.0
4103339,37077,101196,889519.8
2093400,103335,197449,237784.8
1329111,67285,34875,95390.2
1246107,168691,69888,61129.2
3771441,89503,222306,737889.6
4795583,77477,167078,1065308.4
2120230,47488,34525,311465.1
3997389,98747,113679,835488.9
4392807,41169,62604,986710.2
4933874,312517,230304,1017315.9
3852279,52669,237918,768507.6
2371690,75277,233572,318852.3
3241650,75120,146997,605859.9
741234,348520,172194,0.0
2198260,74235,180271,283126.2
4583486,368998,174828,911898.0
1771101,35405,34789,210272.1
4628368,133307,157987,1001122.2
4658324,383920,12917,978446.1
3386729,166919,213493,601895.1
1147421,43547,138575,54794.85
372409,26575,111923,0.0
2266716,377803,69328,245875.5
2600770,155915,69602,412575.9
1019598,244059,20410,30512.9
3517824,296996,235817,595503.3
3581068,333805,23574,667106.7
3506415,160229,107057,671738.7
1124371,107942,203187,36324.2
3082868,398870,235669,434498.7
4122998,263892,180404,803610.6
1223548,392880,69453,31121.5
3594014,267610,171877,646358.1
1463475,92968,111364,101828.6
3720495,274686,134488,693396.3
3209034,300981,155898,525646.5
4824293,100684,123535,1080022.2
293585,137704,40779,0.0
3307213,96730,176364,610235.7
2789448,165891,22607,480285.0
359556,289548,200515,0.0
1825557,281644,186784,121425.8
4277419,34674,55883,956058.6
4644539,105923,11100,1058254.8
2373091,211735,18310,342913.8
2259021,387463,184800,206027.4
1451482,48037,48069,121075.2
792335,395709,230809,0.0
3683977,126086,57740,750045.3
4520070,57982,126888,1000560.0
3810920,387386,19233,721290.3
2734413,287300,141568,391663.5
3157360,58280,105979,597930.3
3032592,95324,145246,537606.6
2485000,80706,198474,361746.0
4572252,230793,212138,938796.3
652690,235342,156170,0.0
4943350,161043,66121,1114855.8
2798421,63408,119628,484615.5
4466263,203094,234722,908534.1
4056618,157559,44421,856391.4
2204109,268670,181086,226305.9
4672880,40997,187900,1033194.9
3362754,328600,237142,539103.6
1634250,360132,134586,80929.8
4275717,100908,56567,935472.6
311087,230042,92163,0.0
1746176,360096,159711,95273.8
